q160;q2;q136-137.recodée;Domaine_competences_repondant;mailles_sales_PPP_q142bis;mailles_autres_donnees_usages_PPP_q153bis;mailles_données_usages_comb;continent
29X5-CKZJ;SWITZERLAND;sale;herb;NA;NA;NA_NA;Europe
2AAN-ZDEJ;MALAYSIA;sale;herb;NA;NA;NA_NA;Asie
2AXV-NQWW;LUXEMBOURG;not_known;fung;NA;NA;NA_NA;Europe
2ESK-Y9JT;CZECH REPUBLIC;sale;fung_herb_ins;NA;field;NA_field;Europe
2RDE-LQLY;UNITED KINGDOM;survey;herb;NA;region;NA_region;Europe
2U5P-869M;FRANCE;sale;herb;region;NA;region_NA;Europe
2VTM-JN24;IRELAND;sale_survey;fung_herb_ins;region;region;region_region;Europe
3G3J-5M6P;FRANCE;sale;fung_herb_ins;sale location;NA;sale location_NA;Europe
3GWJ-2QC5;CROATIA;no;herb;NA;NA;NA_NA;Europe
3QZN-YP46;SWITZERLAND;;ins;NA;NA;NA_NA;Europe
4J4M-F9T6;CANADA;not_known;ins;NA;NA;NA_NA;AmNord
4K7H-NYJV;JAPAN;sale;herb;other;NA;other_NA;Asie
4Y8W-C9LU;PORTUGAL;;fung_herb_ins;NA;NA;NA_NA;Europe
59DP-AV76;BRAZIL;not_known;ins;NA;NA;NA_NA;AmSud
5A2L-CT2M;USA;sale;fung;NA;NA;NA_NA;AmNord
5UGD-S8QF;ISRAEL;sale;fung;country;NA;country_NA;Asie
5Z3H-V92F;ARGENTINA;no;fung;NA;NA;NA_NA;AmSud
69VM-PT8U;UNITED KINGDOM;survey;ins;NA;postal code of the user;NA_postal code of the user;Europe
6GPV-WYGK;ITALY;not_known;ins;NA;NA;NA_NA;Europe
6TNB-HZLL;COLOMBIA;no;fung_ins;NA;NA;NA_NA;AmSud
7868-VS3L;USA;sale;fung;NA;NA;NA_NA;AmNord
79LN-7ECF;UNITED KINGDOM;survey;ins;NA;field;NA_field;Europe
7GRR-SBY4;USA;not_known;fung;NA;NA;NA_NA;AmNord
7JKJ-3UZS;INDIA;not_known;fung;NA;region;NA_region;Asie
7RXY-ZMXZ;ITALY;;ins;NA;NA;NA_NA;Europe
7TH3-DZYX;BRAZIL;sale;fung;region;NA;region_NA;AmSud
7TW6-YSAF;GREECE;sale;herb;NA;NA;NA_NA;Europe
7Y7E-9J8H;FRANCE;sale;fung;region;NA;region_NA;Europe
85RL-N8U6;GREECE;not_known;ins;NA;NA;NA_NA;Europe
8RVJ-WRB7;GERMANY;sale;ins;NA;country;NA_country;Europe
8RXK-ETZV;ITALY;not_known;ins;NA;NA;NA_NA;Europe
8VKF-XK2A;FRANCE;not_known;fung_herb_ins;NA;NA;NA_NA;Europe
93NN-6BTB;UNITED KINGDOM;sale_survey;fung_herb_ins;country;NA;country_NA;Europe
9748-QCWC;GREECE;not_known;ins;NA;NA;NA_NA;Europe
98EV-2YAX;USA;sale;herb;NA;NA;NA_NA;AmNord
9CUL-D9VW;GREECE;;herb;NA;NA;NA_NA;Europe
9DRD-QH77;GREECE;not_known;ins;NA;NA;NA_NA;Europe
9L5K-CXJR;BELGIUM;sale;fung;region;NA;region_NA;Europe
9T3R-96WW;TUNISIA;not_known;fung_herb_ins;NA;NA;NA_NA;Afrique
9UW9-MNDU;SWITZERLAND;;herb;NA;NA;NA_NA;Europe
9ZU9-XK5U;ITALY;sale;fung;NA;NA;NA_NA;Europe
A4Z6-UKLC;SLOVENIA;sale;herb;country;NA;country_NA;Europe
AQBJ-H458;SLOVAKIA;;fung_herb_ins;NA;NA;NA_NA;Europe
AXDM-MSNW;KOREA, REPUBLIC OF;sale;herb;region;NA;region_NA;Asie
AXGG-K9SG;GREECE;not_known;herb;NA;NA;NA_NA;Europe
B3U8-VAAC;CHILE;sale;ins;field;NA;field_NA;AmSud
B95U-3NTK;DENMARK;sale_survey;fung;country;parish;country_parish;Europe
BNUH-B874;GERMANY;sale;herb;country;NA;country_NA;Europe
BRFK-V7WA;AUSTRIA;sale_survey;fung_herb_ins;NA;country;NA_country;Europe
BXVP-C5YN;UNITED KINGDOM;sale;fung;do not know;NA;do not know_NA;Europe
C9FE-TZKM;AUSTRALIA;not_known;fung;NA;NA;NA_NA;Oceanie
CFGL-6HHV;GERMANY;;ins;NA;NA;NA_NA;Europe
CKBM-5XEE;BELGIUM;sale;herb;country;region;country_region;Europe
CQ2S-5GTX;JAPAN;no;herb;NA;NA;NA_NA;Asie
CVN9-NNVR;DENMARK;sale;ins;NA;NA;NA_NA;Europe
D5UH-TV7S;ITALY;sale_survey;fung_herb_ins;other;other;other_other;Europe
DDXJ-2YFH;GERMANY;;NA;NA;NA;NA_NA;Europe
DGQT-W9Z3;GERMANY;sale;fung_herb_ins;region;NA;region_NA;Europe
DKQJ-6S2B;USA;not_known;fung;NA;NA;NA_NA;AmNord
DU37-FCS2;AUSTRALIA;not_known;fung;NA;NA;NA_NA;Oceanie
DWU8-URZR;THE NETHERLANDS;sale;fung_herb_ins;country;NA;country_NA;Europe
E5FJ-7LH6;LATVIA;not_known;herb;NA;NA;NA_NA;Europe
ECQ8-AUGG;JAPAN;not_known;ins;NA;NA;NA_NA;Asie
EU5T-ZQRL;SPAIN;sale_survey;herb;sale location;sale location;sale location_sale location;Europe
F8DU-VDMC;FRANCE;sale_survey;fung_herb_ins;other;other;other_other;Europe
F9C7-P66F;CHINA;not_known;herb;NA;NA;NA_NA;Asie
FJPW-BHH8;SWEDEN;sale;fung_ins;country;NA;country_NA;Europe
FLEH-ZVKT;CHINA;not_known;ins;NA;NA;NA_NA;Asie
FP9P-84JC;USA;survey;fung;NA;postal code of the user;NA_postal code of the user;AmNord
FRQ2-SVKD;USA;sale;herb;other;NA;other_NA;AmNord
FXNH-2FVM;FRANCE;sale;herb;region;region;region_region;Europe
G3NL-PZKS;CANADA;sale;fung;NA;NA;NA_NA;AmNord
G6LW-SZ4Q;SWITZERLAND;sale_survey;ins;country;field;country_field;Europe
GAPB-YPCZ;CZECH REPUBLIC;no;ins;NA;NA;NA_NA;Europe
GHR4-U2E5;URUGUAY;sale_survey;herb;field;field;field_field;AmSud
GP77-U5XQ;GERMANY;;fung;NA;NA;NA_NA;Europe
GTFV-DQKQ;ITALY;sale;fung;region;NA;region_NA;Europe
GUPA-2K8Q;BELGIUM;sale_survey;fung_herb_ins;NA;postal code of the user;NA_postal code of the user;Europe
H2HA-8STG;SPAIN;;NA;NA;NA;NA_NA;Europe
HECW-HE55;FRANCE;not_known;herb;NA;NA;NA_NA;Europe
