q160;pays;coexistence_pays;q_objectives_;q_number_themes_;bioag_surv_monitoring_comb;q_related_registration_;q_analysis_techniques_biotest_recodé;q_analysis_techniques_biomolecular_recodé;q_analysis_techniques_biochemical_recodé;nb_analysis_techniques;q_official_formalised_sampling_;q_analyzes_and_interprets_the_data_Officials ;q_analyzes_and_interprets_the_data_Academics;q_analyzes_and_interprets_the_data_Companies;q_analyzes_and_interprets_the_data_Advisers;q_analyzes_and_interprets_the_data_Distributors;q_analyzes_and_interprets_the_data_other;participation_financement_monitoring_nouvelle_version;profil_repondant;q_sampling_locations_randomly;q_sampling_locations_selection_pressure;q_sampling_locations_loss_efficacy;q_sampling_locations_other;q_moyens_collecte_data;q_frequence_publications_res;type_monitoring_par_repondant;coexistence_chiffre;q_nb_participant_choice;q_nb_participant_analysis
29X5-CKZJ;SWITZERLAND;public_private_academic;both;;10;no;1;0;0;1;yes;1;0;0;0;0;0;public;Academic;0;0;1;0;paper_NA;yearly;Public;3;3;1
2AAN-ZDEJ;MALAYSIA;NA_NA_academic;both;2;10;yes;1;1;1;3;no;0;1;0;0;0;0;Public+Private+Academic;Academic;1;0;1;0;paper_NA;less frequently;Academic;1;2;1
2AXV-NQWW;LUXEMBOURG;public_NA_academic;both;0;NANANA;do not know;0;0;1;1;do not know;1;1;0;0;0;0;public;Academic;0;0;0;0;paper_NA;during cropping season;Public;2;2;2
2AXV-NQWW;LUXEMBOURG;public_NA_academic;both;;NANANA;do not know;0;0;1;1;do not know;1;1;0;0;0;0;;Academic;0;0;0;0;paper_NA;during cropping season;Academic;2;2;2
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;15;111;yes;1;1;1;3;no;1;1;0;0;0;0;Public+Private+Academic;Academic;0;0;1;0;paper_electronic;during cropping season;Public;3;3;2
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;200;NANANA;yes;1;1;1;3;no;0;0;0;1;0;0;public;Academic;0;1;1;0;paper_electronic;during cropping season;Private;3;2;1
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;250;NANANA;yes;1;1;1;3;no;1;1;0;0;0;0;public;Academic;0;1;1;0;paper_electronic;during cropping season;Academic;3;3;2
2RDE-LQLY;UNITED KINGDOM;public_private_academic;both;12;10;no;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Other;0;0;0;1;paper_NA;NA;Public;3;3;1
2U5P-869M;FRANCE;public_private_academic;both;3;10;do not know;0;1;0;1;yes;0;1;0;1;0;0;Private;Other;0;0;1;0;paper_NA;less frequently;Academic;3;2;2
2U5P-869M;FRANCE;public_private_academic;both;12;10;yes;1;1;0;2;no;1;1;1;0;0;0;Private;Other;0;0;1;0;paper_NA;less frequently;Private;3;3;3
